date,West Ham Football Club,isPartial
2016-04-09 14:40:00,22,False
2016-04-09 14:48:00,22,False
2016-04-09 14:56:00,22,False
2016-04-09 15:04:00,18,False
2016-04-09 15:12:00,27,False
2016-04-09 15:20:00,4,False
2016-04-09 15:28:00,4,False
2016-04-09 15:36:00,18,False
2016-04-09 15:44:00,9,False
2016-04-09 15:52:00,22,False
2016-04-09 16:00:00,13,False
2016-04-17 11:04:00,0,False
2016-04-17 11:12:00,0,False
2016-04-17 11:20:00,5,False
2016-04-17 11:28:00,14,False
2016-04-17 11:36:00,14,False
2016-04-17 11:44:00,13,False
2016-04-17 11:52:00,9,False
2016-04-17 12:00:00,22,False
2016-04-17 12:08:00,13,False
2016-04-17 12:16:00,21,False
2016-04-17 12:24:00,25,False
2016-04-17 12:32:00,29,False
2016-04-17 12:40:00,42,False
2016-04-17 12:48:00,65,False
2016-04-17 12:56:00,65,False
2016-04-17 13:04:00,40,False
2016-04-17 13:12:00,35,False
2016-04-17 13:20:00,43,False
2016-04-17 13:28:00,31,False
2016-04-17 13:36:00,54,False
2016-04-17 13:44:00,61,False
2016-04-17 13:52:00,38,False
2016-04-17 14:00:00,67,False
2016-04-17 14:08:00,93,False
2016-04-17 14:16:00,100,False
2016-04-17 14:24:00,54,False
2016-04-17 14:32:00,40,False
2016-04-17 14:40:00,59,False
2016-04-17 14:48:00,55,False
2016-04-17 14:56:00,40,False
2016-04-17 15:04:00,44,False
2016-04-17 15:12:00,26,False
2016-04-17 15:20:00,26,False
2016-04-17 15:28:00,22,False
2016-04-17 15:36:00,11,False
2016-04-17 15:44:00,15,False
2016-04-17 15:52:00,29,False
2016-04-17 16:00:00,18,False
2016-04-17 16:08:00,15,False
2016-04-17 16:16:00,40,False
2016-04-17 16:24:00,11,False
2016-04-17 16:32:00,7,False
2016-04-17 16:40:00,25,False
2016-04-17 16:48:00,18,False
2016-04-17 16:56:00,11,False
2016-04-20 17:04:00,7,False
2016-04-20 17:12:00,27,False
2016-04-20 17:20:00,13,False
2016-04-20 17:28:00,33,False
2016-04-20 17:36:00,13,False
2016-04-20 17:44:00,7,False
2016-04-20 17:52:00,7,False
2016-04-20 18:00:00,20,False
2016-04-20 18:08:00,20,False
2016-04-20 18:16:00,20,False
2016-04-20 18:24:00,7,False
2016-04-20 18:32:00,27,False
